template_number,template_name,Change Type,Usage,Approval Model,Lead Time,Owning Group,Applicable Scenarios,Active,Global,Group,Name,Next Related Template,Next Related Child Template,Short description,Show on template bar,Stand alone,User
ABC00001,Software Update - Activity 1,Software Update,Used for routine updates to ensure system stability.,CAB Approval,1 Day,IT Operations,System downtime mitigation; Data migration activities,True,False,IT Operations,Software Update - Activity 1,,,Used for routine updates to ensure system stability.,True,True,system
ABC00002,Database Migration - Activity 2,Database Migration,Applied during server migrations to improve performance.,Standard Change Approval,2 Days,Database Team,Infrastructure enhancement; Hardware lifecycle upgrades,True,False,IT Operations,Database Migration - Activity 2,,,Applied during server migrations to improve performance.,True,True,system
ABC00003,Network Upgrade - Activity 3,Network Upgrade,Required for network upgrades and capacity expansions.,Emergency Approval,3 Days,Network Team,Security patch deployment; Regulatory compliance enforcement; Business continuity planning,True,False,IT Operations,Network Upgrade - Activity 3,,,Required for network upgrades and capacity expansions.,True,True,system
ABC00004,Hardware Replacement - Activity 4,Hardware Replacement,Used when replacing or upgrading hardware components.,Auto-Approved,1 Week,Security Team,Hardware lifecycle upgrades; Business continuity planning,True,False,IT Operations,Hardware Replacement - Activity 4,,,Used when replacing or upgrading hardware components.,True,True,system
ABC00005,Security Patch - Activity 5,Security Patch,Applied to fix security vulnerabilities quickly.,Executive Approval,2 Weeks,Compliance Team,Regulatory compliance enforcement; Data integrity validation,True,False,IT Operations,Security Patch - Activity 5,,,Applied to fix security vulnerabilities quickly.,True,True,system
ABC00006,Compliance Update - Activity 6,Compliance Update,Used to meet regulatory and compliance requirements.,CAB Approval,1 Month,Application Development Team,Business continuity planning; Security patch deployment; Data integrity validation,True,False,IT Operations,Compliance Update - Activity 6,,,Used to meet regulatory and compliance requirements.,True,True,system
ABC00007,Disaster Recovery Drill - Activity 7,Disaster Recovery Drill,Conducted to test disaster recovery plans. Approval Model: Standard Change Approval Lead Time: 2 Days,Standard Change Approval Lead Time: 2 Days,2 Days,Infrastructure Team,System downtime mitigation; Data migration activities; Business continuity planning,True,False,IT Operations,Disaster Recovery Drill - Activity 7,,,Conducted to test disaster recovery plans. Approval Model: Standard Change Approval Lead Time: 2 Days,True,True,system
ABC00008,Access Control Change - Activity 8,Access Control Change,Used for managing user access and permissions.,Emergency Approval,1 Week,Risk Management,Security patch deployment; Hardware lifecycle upgrades,True,False,IT Operations,Access Control Change - Activity 8,,,Used for managing user access and permissions.,True,True,system
ABC00009,Application Deployment - Activity 9,Application Deployment,Applied when deploying new software versions.,Auto-Approved,2 Weeks,Cloud Operations,System downtime mitigation; Business continuity planning,True,False,IT Operations,Application Deployment - Activity 9,,,Applied when deploying new software versions.,True,True,system
ABC00010,Data Backup - Activity 10,Data Backup,Used for routine and emergency data backup tasks.,Executive Approval,3 Days,Customer Support,Data integrity validation; Security patch deployment,True,False,IT Operations,Data Backup - Activity 10,,,Used for routine and emergency data backup tasks.,True,True,system
